lid,spectrum,sample,exact,z,hb_class_0.1.0,hb_class_0.2.0,hb_c50_sys_0.1.0,hb_c50_sys_0.2.0,hb_delta_c50,hb_bic_margin_0.2.0,hb_n_broad_0.2.0,hb_fit_status_0.2.0,ha_class_0.1.0,ha_class_0.2.0,ha_c50_sys_0.1.0,ha_c50_sys_0.2.0,ha_delta_c50,ha_bic_margin_0.2.0,conti_feop_fwhm_0.2.0,conti_at_bound_0.2.0,feuv_fwhm_fixed_0.2.0,continuum_status_0.2.0
9000000000,spec-0651-52141-0072.fits,Liu+2014,True,0.229,C,C,-1243.534,-1243.496,0.038,17.217,3,success,C,C,-1061.017,-1061.086,-0.069,124.224,9956.177,feop_norm,False,success
9000000000,spec-7169-56628-0344.fits,Liu+2014,False,0.229,C,C,-1675.191,-1646.844,28.348,183.916,3,success,C,C,-1882.303,-1882.823,-0.520,519.777,1200.000,feop_fwhm,True,success
9000000001,spec-0652-52138-0326.fits,Liu+2014,True,0.220,C,C,78.008,82.533,4.525,4.479,2,success,C,C,-57.136,-57.293,-0.157,33.315,1548.691,,False,success
9000000001,spec-7169-56628-0665.fits,Liu+2014,False,0.220,C,C,345.160,349.997,4.838,4.891,2,success,C,C,-57.909,-58.319,-0.410,56.118,1498.557,,True,success
9000000002,spec-0389-51795-0379.fits,Liu+2014,True,0.505,A,A,698.463,666.638,-31.824,12.998,1,success,--,,,,,,1200.000,"feop_fwhm,feuv_fwhm,feuv_shift",False,success
9000000002,spec-7853-56988-0219.fits,Liu+2014,False,0.505,A,A,475.622,466.619,-9.003,0.707,1,success,A,A,473.620,471.187,-2.433,5.799,9999.940,"feop_norm,feuv_fwhm",False,success
9000000002,spec-9407-58041-0149.fits,Liu+2014,False,0.505,C,C,411.405,406.295,-5.110,9.108,2,success,A,A,355.789,352.347,-3.442,0.478,1200.918,"feop_norm,feuv_fwhm,feuv_shift",False,success
9000000003,spec-0753-52233-0253.fits,Liu+2014,True,0.588,F,C,214.647,195.906,-18.741,40.718,3,success,--,,,,,,1242.316,feuv_fwhm,False,success
9000000004,spec-0390-51816-0538.fits,Liu+2014,False,0.307,A,A,1573.663,1565.907,-7.755,9.126,1,success,A,A,1325.451,1327.078,1.626,5.436,1747.444,,True,success
9000000004,spec-0390-51900-0531.fits,Liu+2014,True,0.307,W,A,1405.883,1407.536,1.653,3.552,1,success,A,A,1185.281,1161.738,-23.543,12.095,1829.501,,True,success
9000000004,spec-7854-56989-0403.fits,Liu+2014,False,0.307,C,C,1481.465,1492.228,10.763,14.723,2,success,A,A,1320.402,1323.339,2.937,0.717,3754.835,,True,success
9000000004,spec-9405-58048-0714.fits,Liu+2014,False,0.307,A,C,735.796,676.434,-59.363,10.491,2,success,A,A,682.372,682.544,0.172,1.017,3962.514,,True,success
9000000005,spec-0390-51816-0153.fits,Liu+2014,False,0.505,W,W,-191.535,-202.051,-10.516,2.953,2,success,--,,,,,,1200.000,"feop_fwhm,feuv_fwhm",False,success
9000000005,spec-0390-51900-0157.fits,Liu+2014,True,0.505,W,W,-190.651,-213.576,-22.925,11.323,2,success,--,,,,,,1200.000,"feop_fwhm,feuv_fwhm,feuv_shift",False,success
9000000005,spec-7865-56955-0806.fits,Liu+2014,False,0.505,F,F,-77.149,-52.424,24.724,5.371,2,success,F,F,-167.771,-197.285,-29.514,5.832,1200.000,"feop_fwhm,feuv_fwhm",False,success
9000000005,spec-9347-58042-0621.fits,Liu+2014,False,0.505,F,F,6.267,4.960,-1.307,1.775,1,success,F,F,-71.036,-92.177,-21.140,6.571,1200.000,"feop_fwhm,feuv_fwhm,feuv_shift",False,success
9000000006,spec-0688-52203-0089.fits,Liu+2014,True,0.484,C,C,-564.761,-561.747,3.014,5.286,2,success,--,,,,,,5355.185,,False,success
9000000006,spec-7865-56955-0857.fits,Liu+2014,False,0.484,C,C,-83.600,-159.097,-75.498,1.165,2,success,A,A,-389.351,-389.634,-0.283,13.694,1442.385,feuv_fwhm,False,success
9000000006,spec-9347-58042-0684.fits,Liu+2014,False,0.484,C,C,-20.787,-102.715,-81.928,4.698,2,success,A,A,-343.190,-341.302,1.888,9.769,2040.798,feuv_fwhm,False,success
9000000007,spec-0392-51793-0520.fits,Liu+2014,True,0.252,C,C,157.933,160.835,2.902,10.241,2,success,F,F,293.629,292.793,-0.836,4.879,1477.591,,True,success
9000000007,spec-7868-57006-0816.fits,Liu+2014,False,0.252,C,C,113.228,137.608,24.381,1.546,2,success,C,C,74.405,71.249,-3.156,52.133,1340.796,,True,success
9000000007,spec-9409-58051-0237.fits,Liu+2014,False,0.252,C,C,148.107,174.151,26.043,1.187,2,success,C,C,82.562,81.104,-1.458,14.200,1643.155,,True,success
9000000008,spec-2327-53710-0112.fits,Liu+2014,True,0.594,A,A,-1795.778,-1791.961,3.816,3.480,1,success,--,,,,,,1200.275,"feuv_fwhm,feuv_shift",False,success
9000000008,spec-11046-58398-0811.fits,Liu+2014,False,0.594,A,A,-1326.167,-1302.629,23.538,1.702,1,success,--,,,,,,3034.816,feuv_shift,False,success
9000000009,spec-0656-52148-0450.fits,Liu+2014,True,0.446,C,C,-287.403,-282.579,4.825,17.221,3,success,--,,,,,,1789.543,feuv_fwhm,False,success
9000000010,spec-0420-51871-0248.fits,Liu+2014,True,0.138,W,W,149.942,149.327,-0.615,7.250,2,success,W,W,130.052,130.042,-0.010,65.795,1200.000,feop_fwhm,False,success
9000000011,spec-0692-52201-0421.fits,Liu+2014,False,0.400,A,F,304.096,295.620,-8.477,10.791,3,success,--,,,,,,1394.168,,True,success
9000000011,spec-1132-52903-0510.fits,Liu+2014,True,0.400,A,A,319.781,305.992,-13.789,10.115,2,success,--,,,,,,1305.814,,True,success
9000000011,spec-9412-58096-0077.fits,Liu+2014,False,0.400,A,A,336.415,346.824,10.409,44.530,3,success,A,A,323.919,324.544,0.626,50.607,1508.739,,False,success
9000000012,spec-0658-52146-0548.fits,Liu+2014,True,0.357,F,F,193.163,207.728,14.565,30.832,3,success,F,F,48.502,45.452,-3.050,15.953,1200.000,feop_fwhm,True,success
9000000013,spec-0422-51811-0336.fits,Liu+2014,True,0.514,F,F,-270.577,-274.679,-4.102,5.738,2,success,--,,,,,,2095.506,"feuv_fwhm,feuv_shift",False,success
9000000013,spec-0422-51878-0330.fits,Liu+2014,False,0.514,F,F,-239.001,-246.286,-7.285,3.257,2,success,--,,,,,,1699.660,"feuv_fwhm,feuv_shift",False,success
